Restaurant Name,Rating,Cuisine,Location,Reviews
Santos-Thompson,1.6398512625909865,Mexican,East Pamela,975
"Hopkins, Lopez and Flores",4.884276857754191,Chinese,Henrybury,541
Bennett Ltd,3.6681480543777716,Mexican,Tiffanytown,68
"Gill, Franco and Kent",3.8593088627637737,Mexican,Dayfurt,123
Walker-Ferrell,4.623187900232622,Mexican,Benjaminchester,177
"House, Molina and Davidson",1.713273397159354,Chinese,North Douglas,676
"Castro, Warren and Gomez",2.2124091770543766,Mexican,Lake Alfredberg,565
Fernandez and Sons,3.1529573931986277,American,Abbottfort,708
Mcknight Group,2.1947712308165475,Indian,New Taylor,324
Macdonald Group,1.221123217276003,Indian,New Steven,900
"Morris, Nicholson and Cherry",4.5896208373153815,American,Barajaschester,590
George-Martin,1.6267210214781809,Chinese,Lake Michaelchester,814
Fletcher LLC,1.9971162322677682,Chinese,Loriville,449
"Williams, Kim and Hopkins",3.2530547553058784,American,Ashleyview,501
"King, Allen and Schmitt",4.969709972079071,Indian,Millerport,823
"Cortez, Clarke and Campbell",2.507445302257103,Chinese,Douglasstad,632
Mcdonald PLC,2.9950152545254585,Mexican,Nicholasmouth,431
Cunningham-Oneal,2.491975691719113,Italian,Carlsonland,232
Olson-Robertson,4.239032447301215,American,Mathewsside,540
Gonzalez-Thompson,1.6651884029273192,Chinese,Lake Danielmouth,338
"Johnson, Grimes and Obrien",4.514133610791031,American,North Jaclyn,706
"Lester, Brown and Smith",2.6290598039600317,Indian,Timothyport,347
"Palmer, Adkins and Bright",2.99277635078373,American,West Stephanie,498
"Smith, Moore and Brown",3.3816104567018264,Italian,Stephanieburgh,983
Thomas LLC,1.726884381838881,American,Brownborough,760
Aguirre PLC,1.1439098448409313,Indian,North Emilymouth,795
"Floyd, Bond and Hill",4.78845481724589,American,Rileyport,946
Hall PLC,2.0140850116117766,American,Nancymouth,177
Robbins-Miranda,1.6045877306891443,Italian,Valenzuelafurt,64
Walker Group,2.9952707959706375,Chinese,South Megan,774
"Everett, Brown and Mejia",2.1025156822702025,American,East Jasonshire,836
"Ramirez, Hughes and Rivas",4.802649484207297,American,Sherryview,965
Shepherd-Gonzalez,3.8595854620691683,Mexican,Carterbury,960
Smith-Tucker,1.2424300632521117,American,West Maryborough,639
Pacheco-Evans,3.25802365321097,Mexican,Fisherland,893
Cole LLC,3.2941552597483335,American,Aguilarstad,193
English-Terry,3.157329870379706,American,Port Nicolas,13
Mcguire Group,1.2121474068451112,Chinese,Kristenfort,43
Brown-Knight,2.8164314748336396,American,Christinastad,953
Cherry Inc,1.987158298246344,Italian,New Teresa,363
Giles-Berg,2.3686730495736485,Indian,Dianeborough,788
"Hudson, Russell and Cisneros",2.1819621015505484,American,East Stephanie,729
Carter-Eaton,3.8651611542630557,Chinese,East Lisahaven,241
Oneal and Sons,3.3354324654070266,Indian,East Melissa,785
Miller Group,3.5390120636584417,American,Jenniferside,624
Perez-Dean,1.9951693960853212,Indian,New Gregory,722
Carter-Mccoy,2.7608912349376573,American,West Catherine,53
Smith Ltd,2.972622701561504,Mexican,Lake Nicholasport,104
Long-Garcia,3.907256340992115,American,Wilcoxbury,127
"Banks, Chandler and Preston",3.188343884832177,Italian,New Georgefurt,631
Villarreal PLC,2.608612621797158,Italian,North Robertmouth,455
Nguyen and Sons,1.530454627373886,Mexican,South Davidfurt,115
Reyes-Gregory,3.3261969710338577,American,Katrinaview,651
Weber LLC,1.0205423194539893,Mexican,Gonzalezville,576
"Scott, Weiss and Ray",4.316469986431052,Mexican,Thompsonton,493
Hodge-Yates,4.250331796434114,American,New Brandonborough,173
"Gonzales, Pierce and Horn",1.127888557190453,Indian,Annetteview,769
Rivera-Lambert,2.6444092191873767,Mexican,Dunnview,962
Lopez and Sons,3.585972867945573,Italian,Lake Karaburgh,130
"Ferrell, Mitchell and Lopez",2.603155866581073,Mexican,Lake Zacharyhaven,438
Reeves and Sons,4.044915374805338,Indian,South Paulafort,870
Jones-Wilson,4.867415052242864,Chinese,Port Alexa,172
Vasquez-Lewis,2.091748468700707,American,New Carlchester,967
Cabrera LLC,2.4827365398894305,American,Port Jamesport,609
Santiago-Munoz,1.5954394875469031,Italian,Lake Wesley,618
"Vargas, Dorsey and Kirby",1.499949747782622,Italian,New Tinastad,478
"Goodman, Deleon and Allen",2.933332580271874,American,Singhville,281
